# split_ratio=80:10:10 seed=42 objective=0 solver=mip_cbc
filename,split
xc1002657_2860.wav,test
xc1003831_2642.wav,test
xc1005485_1496.wav,test
xc1005485_5236.wav,test
xc1005485_8968.wav,test
xc1006786_13138.wav,train
xc1006786_20816.wav,train
xc1006786_642.wav,train
xc1006787_226.wav,test
xc1029034_14335.wav,train
xc1029034_28707.wav,train
xc1029034_41664.wav,train
xc1029034_49966.wav,train
xc1029034_55061.wav,train
xc1029034_5560.wav,train
xc1041026_17925.wav,test
xc1041026_2413.wav,test
xc1041026_27256.wav,test
xc1041026_32201.wav,test
xc1041026_37499.wav,test
xc1041026_45615.wav,test
xc113335_22839.wav,val
xc113335_29729.wav,val
xc113335_37805.wav,val
xc113335_62805.wav,val
xc113335_696.wav,val
xc113335_8461.wav,val
xc133013_16436.wav,train
xc133013_24612.wav,train
xc133013_42993.wav,train
xc133013_66443.wav,train
xc133013_72052.wav,train
xc161191_113.wav,test
xc161194_12570.wav,val
xc161194_5138.wav,val
xc161194_70.wav,val
xc161195_138.wav,train
xc161197_11525.wav,test
xc161197_142.wav,test
xc161197_4006.wav,test
xc161197_7375.wav,test
xc161198_13995.wav,train
xc161198_738.wav,train
xc161199_10865.wav,train
xc161199_14640.wav,train
xc161199_20301.wav,train
xc161199_5739.wav,train
xc161431_20840.wav,train
xc161431_26972.wav,train
xc161431_31311.wav,train
xc161431_47293.wav,train
xc161431_69478.wav,train
xc161431_8233.wav,train
xc161968_0.wav,train
xc161968_15274.wav,train
xc161968_21201.wav,train
xc161968_3749.wav,train
xc161968_6840.wav,train
xc162827_0.wav,train
xc162827_12000.wav,train
xc162827_3000.wav,train
xc162827_6000.wav,train
xc162827_9000.wav,train
xc162828_11996.wav,test
xc162828_17482.wav,test
xc162828_20482.wav,test
xc162828_26597.wav,test
xc162828_296.wav,test
xc162828_4518.wav,test
xc162828_7801.wav,test
xc166251_10346.wav,train
xc166251_182.wav,train
xc166251_18944.wav,train
xc166251_25002.wav,train
xc166251_37767.wav,train
xc166251_43438.wav,train
xc175830_46.wav,train
xc179229_104245.wav,train
xc179229_12086.wav,train
xc179229_18021.wav,train
xc179229_23700.wav,train
xc179229_29314.wav,train
xc179229_3349.wav,train
xc179229_51906.wav,train
xc179229_6751.wav,train
xc179229_68687.wav,train
xc179229_82770.wav,train
xc181991_19674.wav,train
xc181991_25757.wav,train
xc181991_31606.wav,train
xc181992_12077.wav,train
xc181992_16950.wav,train
xc181992_20332.wav,train
xc182810_12276.wav,train
xc182810_268.wav,train
xc182810_7612.wav,train
xc189420_10568.wav,val
xc189420_15056.wav,val
xc189420_21350.wav,val
xc189420_25865.wav,val
xc189420_4243.wav,val
xc189420_658.wav,val
xc189420_7477.wav,val
xc190308_1236.wav,train
xc190308_20680.wav,train
xc190308_24542.wav,train
xc190308_30277.wav,train
xc190308_33279.wav,train
xc190873_0.wav,train
xc190873_2728.wav,train
xc190874_2452.wav,test
xc19400_1044.wav,train
xc19400_29855.wav,train
xc19400_57109.wav,train
xc194196_1534.wav,val
xc194196_16751.wav,val
xc194196_25316.wav,val
xc194196_28799.wav,val
xc194196_31967.wav,val
xc194196_35301.wav,val
xc194196_5033.wav,val
xc194905_3994.wav,train
xc194905_995.wav,train
xc196584_12124.wav,train
xc196584_15124.wav,train
xc196584_21784.wav,train
xc196584_25162.wav,train
xc196584_36634.wav,train
xc196584_43543.wav,train
xc196584_52519.wav,train
xc196584_55519.wav,train
xc196584_6124.wav,train
xc196584_9124.wav,train
xc20267_11843.wav,train
xc20267_15187.wav,train
xc20267_3436.wav,train
xc20267_66.wav,train
xc20267_7058.wav,train
xc236515_10244.wav,train
xc236515_13301.wav,train
xc236515_284.wav,train
xc236515_6844.wav,train
xc24590_10813.wav,train
xc24590_14244.wav,train
xc24590_17810.wav,train
xc24590_23830.wav,train
xc24590_3163.wav,train
xc24590_7017.wav,train
xc24591_1044.wav,train
xc24591_13156.wav,train
xc24591_5473.wav,train
xc24591_9301.wav,train
xc27611_0.wav,train
xc27611_11378.wav,train
xc27611_33154.wav,train
xc27611_36387.wav,train
xc27611_63043.wav,train
xc290513_3402.wav,train
xc290513_402.wav,train
xc290513_6402.wav,train
xc290513_9402.wav,train
xc29590_121274.wav,train
xc29590_35263.wav,train
xc29590_423.wav,train
xc29590_46752.wav,train
xc29590_49752.wav,train
xc29590_6541.wav,train
xc29590_66284.wav,train
xc29590_74435.wav,train
xc29590_9541.wav,train
xc29590_96130.wav,train
xc29594_10014.wav,train
xc29594_13949.wav,train
xc29594_17310.wav,train
xc29594_20472.wav,train
xc29594_2282.wav,train
xc29594_23886.wav,train
xc29594_6602.wav,train
xc301717_0.wav,val
xc301717_12000.wav,val
xc301717_15000.wav,val
xc301717_18000.wav,val
xc301717_3000.wav,val
xc301717_6000.wav,val
xc301717_9000.wav,val
xc305691_1164.wav,test
xc305691_4165.wav,test
xc309568_11850.wav,train
xc309568_1570.wav,train
xc309568_4805.wav,train
xc309568_8036.wav,train
xc311271_1282.wav,train
xc311271_14109.wav,train
xc311271_17344.wav,train
xc311271_33505.wav,train
xc314337_13240.wav,train
xc314337_5340.wav,train
xc314337_667.wav,train
xc314337_9308.wav,train
xc314339_375.wav,train
xc314339_9558.wav,train
xc31590_1055.wav,train
xc31590_11841.wav,train
xc31590_4694.wav,train
xc31590_7909.wav,train
xc327430_11577.wav,train
xc327430_19913.wav,train
xc327430_4519.wav,train
xc330496_1577.wav,test
xc35804_166.wav,train
xc35804_3475.wav,train
xc35804_6795.wav,train
xc38335_10140.wav,train
xc38335_13141.wav,train
xc38335_16163.wav,train
xc38335_23935.wav,train
xc38335_26929.wav,train
xc38335_3738.wav,train
xc38335_735.wav,train
xc400193_12377.wav,train
xc400193_16231.wav,train
xc400193_20286.wav,train
xc400193_3388.wav,train
xc400193_8629.wav,train
xc400194_13915.wav,train
xc400194_30872.wav,train
xc400194_34567.wav,train
xc400194_686.wav,train
xc400194_7636.wav,train
xc414018_3511.wav,train
xc414018_511.wav,train
xc423125_1003.wav,train
xc423125_16602.wav,train
xc423125_22495.wav,train
xc423125_29639.wav,train
xc426536_11112.wav,train
xc426536_14292.wav,train
xc426536_1729.wav,train
xc426536_17647.wav,train
xc426536_20652.wav,train
xc426536_4735.wav,train
xc426536_53571.wav,train
xc426536_61458.wav,train
xc426536_67060.wav,train
xc426536_7740.wav,train
xc426538_4983.wav,train
xc426538_9812.wav,train
xc444228_2004.wav,train
xc514743_13774.wav,train
xc514743_181.wav,train
xc514743_4353.wav,train
xc514743_8446.wav,train
xc518843_1012.wav,train
xc518843_20686.wav,train
xc518843_23980.wav,train
xc518843_37834.wav,train
xc518843_41917.wav,train
xc518843_57378.wav,train
xc518843_6179.wav,train
xc531611_0.wav,train
xc531611_12000.wav,train
xc531611_3000.wav,train
xc531611_6000.wav,train
xc531611_9000.wav,train
xc531612_0.wav,train
xc531612_11617.wav,train
xc531612_14780.wav,train
xc531612_18000.wav,train
xc531612_21000.wav,train
xc531612_24000.wav,train
xc531612_3000.wav,train
xc531612_6440.wav,train
xc531612_9436.wav,train
xc534388_1137.wav,train
xc534388_13851.wav,train
xc534388_4721.wav,train
xc534388_8064.wav,train
xc547505_11091.wav,train
xc547505_19640.wav,train
xc547505_24438.wav,train
xc547505_42499.wav,train
xc547505_960.wav,train
xc551633_13284.wav,train
xc551633_16305.wav,train
xc551633_19306.wav,train
xc551633_22326.wav,train
xc551633_28548.wav,train
xc551633_31589.wav,train
